date,unemployment,inflation,interest_rate,gdp
2020-01-31,3.6,,1.55,21751.238
2020-02-29,3.5,0.0004746707213065804,1.58,
2020-03-31,4.4,-0.004528447444551498,0.65,
2020-04-30,14.8,-0.007920147553434065,0.05,19958.291
2020-05-31,13.2,-0.0008983252093487382,0.05,
2020-06-30,11.0,0.004847499237691677,0.08,
2020-07-31,10.2,0.005096443382793581,0.09,21704.437
2020-08-31,8.4,0.003731343283582156,0.1,
2020-09-30,7.8,0.002626139536318739,0.09,
2020-10-31,6.9,0.001238475828567287,0.09,22087.16
2020-11-30,6.7,0.002274132890799363,0.09,
2020-12-31,6.7,0.004346309661148906,0.09,
2021-01-31,6.4,0.00226678623900467,0.09,22680.693
2021-02-28,6.2,0.003556212139095738,0.08,
2021-03-31,6.1,0.004833575517978028,0.07,
2021-04-30,6.1,0.006713309948762847,0.07,23425.91
2021-05-31,5.8,0.006672292545710334,0.06,
2021-06-30,5.9,0.008591526206762845,0.08,
2021-07-31,5.4,0.004635957297477011,0.1,23982.379
2021-08-31,5.1,0.0028937547110843287,0.09,
2021-09-30,4.7,0.004362937760309826,0.08,
2021-10-31,4.5,0.009439954442911347,0.08,24813.6
2021-11-30,4.2,0.00830295666261649,0.08,
2021-12-31,3.9,0.0071084268212204815,0.08,
2022-01-31,4.0,0.006182204083958309,0.08,25250.347
2022-02-28,3.8,0.007018425579205845,0.08,
2022-03-31,3.7,0.010340040418240992,0.2,
2022-04-30,3.7,0.003878706077567129,0.33,25861.292
2022-05-31,3.6,0.009415001628653163,0.77,
2022-06-30,3.6,0.012952327333770608,1.21,
2022-07-31,3.5,-0.00044734844376970173,1.68,26336.304
2022-08-31,3.6,0.0007526954634839989,2.33,
2022-09-30,3.5,0.004265454225137466,2.56,
2022-10-31,3.6,0.0052560378650634565,3.08,26770.514
2022-11-30,3.6,0.00244648112786483,3.78,
2022-12-31,3.5,0.00033477509808887973,4.1,
2023-01-31,3.5,0.005515247249069821,4.33,27216.445
2023-02-28,3.6,0.0033948398434380245,4.57,
2023-03-31,3.5,0.0005539412755906081,4.65,
2023-04-30,3.4,0.004027940313549472,4.83,27530.055
2023-05-31,3.6,0.0015122598709624846,5.06,
2023-06-30,3.6,0.0025814661936727212,5.08,
2023-07-31,3.5,0.0016968158395787025,5.12,28074.846
2023-08-31,3.7,0.0049997537875678955,5.33,
2023-09-30,3.8,0.004037394900339164,5.33,
2023-10-31,3.9,0.0009076890042749586,5.33,28424.722
2023-11-30,3.7,0.0014106802143973862,5.33,
2023-12-31,3.8,0.002103301989373252,5.33,
2024-01-31,3.7,0.0034301261599751776,5.33,28708.161
