date,unemployment,inflation,interest_rate,credit_spread
2018-02-28,4.1,0.0026922876006090224,1.42,1.6504999999999999
2018-03-31,4.0,0.000192362410782021,1.51,1.8
2018-04-30,4.0,0.002604406656061986,1.69,1.8000000000000003
2018-05-31,3.8,0.002257949781598212,1.7,1.8478260869565217
2018-06-30,4.0,0.0009011451720948305,1.82,1.9223809523809523
2018-07-31,3.8,0.0007808204989283585,1.91,1.9063636363636363
2018-08-31,3.8,0.0017873207703393845,1.91,1.8769565217391304
2018-09-30,3.7,0.002062281702117419,1.95,1.8815000000000002
2018-10-31,3.8,0.002339580144498754,2.19,1.9104347826086956
2018-11-30,3.8,-0.0007041919199911595,2.2,2.104090909090909
2018-12-31,3.9,0.0006848935445813442,2.27,2.300952380952381
2019-01-31,4.0,-0.0008149798035343991,2.4,2.40695652173913
2019-02-28,3.8,0.003001255142321968,2.4,2.2715
2019-03-31,3.8,0.0037817929172307974,2.41,2.264761904761905
2019-04-30,3.7,0.0037596794047436433,2.42,2.1686363636363635
2019-05-31,3.6,0.0002468332856644384,2.39,2.236521739130435
2019-06-30,3.6,-0.0003251128102280676,2.38,2.3865
2019-07-31,3.7,0.0023078761661827762,2.4,2.221739130434783
2019-08-31,3.6,0.0009147700174354512,2.13,2.247272727272727
2019-09-30,3.5,0.0015388460997671771,2.04,2.217142857142857
2019-10-31,3.6,0.0028272822992627678,1.83,2.2182608695652175
2019-11-30,3.6,0.00281542260504386,1.55,2.126190476190476
2019-12-31,3.6,0.0029122185210892493,1.55,2.0136363636363637
2020-01-31,3.6,0.0019216641534238743,1.55,2.011304347826087
2020-02-29,3.5,0.0004746707213065804,1.58,2.1035
2020-03-31,4.4,-0.004528447444551498,0.65,3.4181818181818184
2020-04-30,14.8,-0.007920147553434065,0.05,3.475909090909091
2020-05-31,13.2,-0.0008983252093487382,0.05,3.2752380952380955
2020-06-30,11.0,0.004847499237691677,0.08,2.9131818181818185
2020-07-31,10.2,0.005096443382793581,0.09,2.697391304347826
2020-08-31,8.4,0.003731343283582156,0.1,2.624285714285714
2020-09-30,7.8,0.002626139536318739,0.09,2.6845454545454546
2020-10-31,6.9,0.001238475828567287,0.09,2.653181818181818
2020-11-30,6.7,0.002274132890799363,0.09,2.4214285714285717
2020-12-31,6.7,0.004346309661148906,0.09,2.230434782608696
2021-01-31,6.4,0.00226678623900467,0.09,2.1619047619047618
2021-02-28,6.2,0.003556212139095738,0.08,2.1645
2021-03-31,6.1,0.004833575517978028,0.07,2.1317391304347826
2021-04-30,6.1,0.006713309948762847,0.07,1.9727272727272727
2021-05-31,5.8,0.006672292545710334,0.06,1.9985714285714284
2021-06-30,5.9,0.008591526206762845,0.08,1.9259090909090908
2021-07-31,5.4,0.004635957297477011,0.1,1.9236363636363636
2021-08-31,5.1,0.0028937547110843287,0.09,1.9563636363636363
2021-09-30,4.7,0.004362937760309826,0.08,1.8577272727272727
2021-10-31,4.5,0.009439954442911347,0.08,1.7738095238095237
2021-11-30,4.2,0.00830295666261649,0.08,1.7204545454545455
2021-12-31,3.9,0.0071084268212204815,0.08,1.8356521739130434
2022-01-31,4.0,0.006182204083958309,0.08,1.8195238095238095
2022-02-28,3.8,0.007018425579205845,0.08,2.0385
2022-03-31,3.7,0.010340040418240992,0.2,2.166086956521739
2022-04-30,3.7,0.003878706077567129,0.33,1.9123809523809523
2022-05-31,3.6,0.009415001628653163,0.77,2.2204545454545457
2022-06-30,3.6,0.012952327333770608,1.21,2.1245454545454545
2022-07-31,3.5,-0.00044734844376970173,1.68,2.322380952380952
2022-08-31,3.6,0.0007526954634839989,2.33,2.254782608695652
2022-09-30,3.5,0.004265454225137466,2.56,2.1777272727272727
2022-10-31,3.6,0.0052560378650634565,3.08,2.271904761904762
2022-11-30,3.6,0.00244648112786483,3.78,2.175909090909091
2022-12-31,3.5,0.00033477509808887973,4.1,1.9786363636363637
2023-01-31,3.5,0.005515247249069821,4.33,1.9704545454545455
2023-02-28,3.6,0.0033948398434380245,4.57,1.8495000000000001
2023-03-31,3.5,0.0005539412755906081,4.65,2.051304347826087
2023-04-30,3.4,0.004027940313549472,4.83,2.0715
2023-05-31,3.6,0.0015122598709624846,5.06,2.188695652173913
2023-06-30,3.6,0.0025814661936727212,5.08,2.004090909090909
2023-07-31,3.5,0.0016968158395787025,5.12,1.8423809523809522
2023-08-31,3.7,0.0049997537875678955,5.33,1.8495652173913044
2023-09-30,3.8,0.004037394900339164,5.33,1.779047619047619
2023-10-31,3.9,0.0009076890042749586,5.33,1.831818181818182
2023-11-30,3.7,0.0014106802143973862,5.33,1.7854545454545454
2023-12-31,3.8,0.002103301989373252,5.33,1.6233333333333335
2024-01-31,3.7,0.0034301261599751776,5.33,1.61
